         12873112 function calls (12478324 primitive calls) in 7.593 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.019    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:995(clear)
    13520    0.017    0.000    0.019    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1140(score_stretch)
    72/60    0.000    0.000    0.019    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:4956(parseImpl)
        1    0.000    0.000    0.019    0.019 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_optimize.py:244(_prepare_scalar_function)
        1    0.000    0.000    0.019    0.019 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/optimize/_differentiable_functions.py:86(__init__)
       18    0.000    0.000    0.018    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1082(set_clip_path)
      286    0.000    0.000    0.018    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:132(__init__)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:1355(subplots)
      230    0.000    0.000    0.017    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/patches.py:262(get_transform)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:892(_start)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1727(_init_draw)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1418(_step)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1109(_step)
        1    0.000    0.000    0.017    0.017 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/animation.py:1134(_draw_next_frame)
     2608    0.001    0.000    0.016    0.000 /Users/nico/anaconda3/lib/python3.11/re/__init__.py:272(_compile)
      201    0.002    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/patches.py:742(get_patch_transform)
      167    0.000    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:2984(parseImpl)
     2292    0.002    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:106(_reshape_yi)
       13    0.000    0.000    0.015    0.001 /Users/nico/anaconda3/lib/python3.11/re/__init__.py:225(compile)
    24/12    0.000    0.000    0.015    0.001 /Users/nico/anaconda3/lib/python3.11/functools.py:981(__get__)
       12    0.000    0.000    0.015    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:2973(re_match)
       12    0.000    0.000    0.015    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/pyparsing/core.py:2961(re)
        2    0.000    0.000    0.015    0.007 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:1397(cla)
       12    0.000    0.000    0.015    0.001 /Users/nico/anaconda3/lib/python3.11/re/_compiler.py:738(compile)
    13520    0.010    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1082(score_family)
   346718    0.015    0.000    0.015    0.000 {method 'insert' of 'list' objects}
    12496    0.007    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:356(issubdtype)
       56    0.000    0.000    0.014    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3126(_mouse_event_to_message)
      382    0.001    0.000    0.014    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
       31    0.000    0.000    0.014    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:3918(format_coord)
27886/23603    0.008    0.000    0.013    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:319(stale)
       15    0.000    0.000    0.013    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1300(_get_ticklabel_bboxes)
       15    0.000    0.000    0.013    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1304(<listcomp>)
        1    0.000    0.000    0.013    0.013 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1309(get_tightbbox)
     2638    0.003    0.000    0.013    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:259(_reconstruct)
       62    0.003    0.000    0.013    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/ticker.py:624(format_data_short)
      287    0.001    0.000    0.013    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:729(draw)
     1155    0.000    0.000    0.013    0.000 <__array_function__ internals>:177(linspace)
    23364    0.006    0.000    0.012    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/__init__.py:725(__getitem__)
        4    0.012    0.003    0.012    0.003 {built-in method set_icon}
     39/4    0.000    0.000    0.012    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
     21/4    0.000    0.000    0.012    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:407(draw)
   114808    0.012    0.000    0.012    0.000 {built-in method numpy.promote_types}
       63    0.000    0.000    0.012    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:765(_set_scale)
        3    0.000    0.000    0.012    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:818(_init_axis)
       30    0.000    0.000    0.012    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:918(set_tick_params)
       63    0.000    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/scale.py:103(set_default_locators_and_formatters)
      235    0.000    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:263(_prepare_font)
     1155    0.006    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/function_base.py:23(linspace)
   168383    0.011    0.000    0.011    0.000 {built-in method builtins.issubclass}
      451    0.001    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/transforms.py:1467(transform)
