         1633960 function calls (1596512 primitive calls) in 3.559 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
10899/175    0.007    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:128(deepcopy)
    14022    0.015    0.000    0.015    0.000 {built-in method numpy.array}
  700/175    0.002    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:227(_deepcopy_dict)
     3624    0.001    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:51(__init__)
     4941    0.002    0.000    0.015    0.000 <__array_function__ internals>:177(norm)
     1206    0.001    0.000    0.015    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/integrate/_quadrature.py:21(trapezoid)
        3    0.000    0.000    0.014    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axis3d.py:185(get_major_ticks)
      416    0.000    0.000    0.014    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
       13    0.000    0.000    0.014    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1082(set_clip_path)
     3624    0.004    0.000    0.014    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:114(_set_yi)
        1    0.000    0.000    0.013    0.013 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1309(get_tightbbox)
      218    0.000    0.000    0.013    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:132(__init__)
    13189    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.013    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/legend.py:708(draw)
        4    0.013    0.003    0.013    0.003 {built-in method set_icon}
       14    0.000    0.000    0.012    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1300(_get_ticklabel_bboxes)
       14    0.000    0.000    0.012    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1304(<listcomp>)
     1216    0.000    0.000    0.012    0.000 <__array_function__ internals>:177(linspace)
      227    0.001    0.000    0.012    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1200(findfont)
     1206    0.001    0.000    0.012    0.000 <__array_function__ internals>:177(trapz)
       30    0.000    0.000    0.012    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:918(set_tick_params)
        2    0.000    0.000    0.011    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:995(clear)
        1    0.000    0.000    0.011    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/figure.py:774(subplots)
        1    0.000    0.000    0.011    0.011 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/gridspec.py:265(subplots)
     4941    0.007    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:2342(norm)
     8487    0.007    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
        3    0.000    0.000    0.011    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:818(_init_axis)
      308    0.001    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:185(_reset_visual_defaults)
29896/17675    0.010    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/matrixlib/defmatrix.py:167(__array_finalize__)
       99    0.000    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:221(get_text_width_height_descent)
     1216    0.006    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/function_base.py:23(linspace)
     1206    0.004    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:4773(trapz)
       57    0.000    0.000    0.011    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:765(_set_scale)
      101    0.005    0.000    0.010    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:67(convert_from_wing_reference_frame_to_stroke_plane)
     12/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
       57    0.000    0.000    0.010    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/scale.py:103(set_default_locators_and_formatters)
     12/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    17818    0.008    0.000    0.010    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3152(ndim)
      101    0.005    0.000    0.010    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:108(convert_from_body_reference_frame_to_global_reference_frame)
21042/17873    0.006    0.000    0.010    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/artist.py:319(stale)
        7    0.000    0.000    0.010    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:2079(_get_tick_boxes_siblings)
        4    0.000    0.000    0.010    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:2813(__init__)
     12/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:666(_load_unlocked)
        4    0.000    0.000    0.010    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:2555(_update_label_position)
     34/7    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3624    0.002    0.000    0.010    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/scipy/interpolate/_polyint.py:134(_set_dtype)
        1    0.000    0.000    0.010    0.010 /Users/nico/anaconda3/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:66(__init__)
        4    0.000    0.000    0.009    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:172(show)
     1899    0.002    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/copy.py:259(_reconstruct)
      101    0.005    0.000    0.009    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:91(convert_from_stroke_plane_to_body_reference_frame)
      170    0.000    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:263(_prepare_font)
       64    0.000    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:101(_get_text_metrics_with_cache_impl)
        6    0.000    0.000    0.009    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axes/_base.py:3155(grid)
     1207    0.009    0.000    0.009    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_analytical.py:391(getAerodynamicCoefficients)
        4    0.009    0.002    0.009    0.002 {method '_show' of '_macosx.FigureManager' objects}
       12    0.000    0.000    0.009    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1621(grid)
        4    0.008    0.002    0.009    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_macosx.py:107(__init__)
        2    0.002    0.001    0.009    0.005 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1360(_findfont_cached)
    33432    0.006    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:282(issubclass_)
      194    0.001    0.000    0.009    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/lines.py:729(draw)
